URL,TITULO,FECHA,CUERPO,DESCRIPCION
https://elcomercio.pe/economia/mercados/dolar-en-peru-precio-y-tipo-de-cambio-hoy-jueves-22-de-diciembre-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/,"Dólar en Perú: El tipo de cambio cerró al alza hoy, jueves 22 de diciembre",22/12/2022 16H39,"En esta nota te daremos a conocer el precio del dólar estadounidense en Perú en la jornada de hoy, jueves 22 de diciembre de 2022. En la fecha de ayer, miércoles 21, la moneda de Estados Unidos cerró al alza en el país.",Precio del dólar: ¿Cómo afecta al tipo de cambio una coyuntura política llena de protestas?
https://elcomercio.pe/economia/mercados/dolar-en-peru-precio-y-tipo-de-cambio-hoy-jueves-22-de-diciembre-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/,"Dólar en Perú: El tipo de cambio cerró al alza hoy, jueves 22 de diciembre",22/12/2022 16H39,"En esta nota te daremos a conocer el precio del dólar estadounidense en Perú en la jornada de hoy, jueves 22 de diciembre de 2022. En la fecha de ayer, miércoles 21, la moneda de Estados Unidos cerró al alza en el país.",Precio del dólar: ¿Cómo afecta al tipo de cambio una coyuntura política llena de protestas?
https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-miercoles-21-de-diciembre-2022-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/,"Dólar en Perú: El tipo de cambio cerró a la baja hoy, 21 de diciembre",21/12/2022 15H36,"En esta nota te daremos a conocer el precio del dólar estadounidense en Perú en la jornada de hoy, miércoles 21 de diciembre de 2022. En la jornada de ayer, martes 20, la moneda de Estados Unidos cerró a la baja en el país por segundo día consecutivo.",Precio del dólar: ¿Cómo afecta al tipo de cambio una coyuntura política llena de protestas?
https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-miercoles-21-de-diciembre-2022-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/,"Dólar en Perú: El tipo de cambio cerró a la baja hoy, 21 de diciembre",21/12/2022 15H36,"En esta nota te daremos a conocer el precio del dólar estadounidense en Perú en la jornada de hoy, miércoles 21 de diciembre de 2022. En la jornada de ayer, martes 20, la moneda de Estados Unidos cerró a la baja en el país por segundo día consecutivo.",Precio del dólar: ¿Cómo afecta al tipo de cambio una coyuntura política llena de protestas?
https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-martes-20-de-diciembre-2022-compra-y-venta-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/,Dólar en Perú: tipo de cambio cerró a la baja este martes 20 de diciembre,20/12/2022 17H13,"En esta nota te daremos a conocer el precio del dólar estadounidense en Perú en la jornada de hoy, martes 20 de diciembre de 2022. En la jornada de ayer, lunes 19, la moneda de Estados Unidos cerró a la baja en el país, pues según el Banco Central de Reserva del Perú (BCR), la cotización del billete verde pasó de  S/3,839 a S/3,838 a nivel interbancario.","Dólar en Perú cerró a la baja en la jornada de ayer, lunes 19 de diciembre"
https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-martes-20-de-diciembre-2022-compra-y-venta-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/,Dólar en Perú: tipo de cambio cerró a la baja este martes 20 de diciembre,20/12/2022 17H13,"En esta nota te daremos a conocer el precio del dólar estadounidense en Perú en la jornada de hoy, martes 20 de diciembre de 2022. En la jornada de ayer, lunes 19, la moneda de Estados Unidos cerró a la baja en el país, pues según el Banco Central de Reserva del Perú (BCR), la cotización del billete verde pasó de  S/3,839 a S/3,838 a nivel interbancario.","Dólar en Perú cerró a la baja en la jornada de ayer, lunes 19 de diciembre"
https://elcomercio.pe/economia/mercados/precio-dolar-en-peru-hoy-tipo-de-cambio-este-viernes-16-de-diciembre-compra-y-venta-dolares-a-soles-dolar-de-hoy-bcr-banco-central-de-reserva-rmmn-noticia/,"Dólar en Perú cerró a la baja hoy, viernes 16 de diciembre del 2022",16/12/2022 17H00,"El precio del dólar estadounidense en Perú opera al alza en la apertura del viernes, dos días después que la Reserva Federal de Estados Unidos (FED) anunciara futuras nuevas alzas en las tasas de interés y en medio de negativas perspectivas para las economías de la región en 2023.",El
https://elcomercio.pe/economia/mercados/precio-dolar-en-peru-hoy-tipo-de-cambio-este-viernes-16-de-diciembre-compra-y-venta-dolares-a-soles-dolar-de-hoy-bcr-banco-central-de-reserva-rmmn-noticia/,"Dólar en Perú cerró a la baja hoy, viernes 16 de diciembre del 2022",16/12/2022 17H00,"El precio del dólar estadounidense en Perú opera al alza en la apertura del viernes, dos días después que la Reserva Federal de Estados Unidos (FED) anunciara futuras nuevas alzas en las tasas de interés y en medio de negativas perspectivas para las economías de la región en 2023.",El
https://elcomercio.pe/economia/mercados/bolsa-de-valores-de-lima-cierra-a-la-baja-tras-el-anuncio-de-la-fed-sobre-una-nueva-alza-en-las-tasas-de-interes-rmmn-noticia/,Bolsa de Valores de Lima cierra a la baja tras el anuncio de la FED sobre una nueva alza en las tasas de interés,14/12/2022 17H31,"La Bolsa de Valores de Lima (BVL) cerró la sesión del miércoles con pérdidas, tras el anuncio de la Reserva Federal (FED) sobre la subida de 50 puntos básicos en las tasas de interés, séptima alza del año.","La Bolsa de Valores de Lima (BVL) cerró la sesión del miércoles con pérdidas, tras el anuncio de la Reserva Federal (FED) sobre la subida de 50 puntos básicos en las tasas de interés, séptima alza del año."
https://elcomercio.pe/economia/mercados/bolsa-de-valores-de-lima-cierra-a-la-baja-tras-el-anuncio-de-la-fed-sobre-una-nueva-alza-en-las-tasas-de-interes-rmmn-noticia/,Bolsa de Valores de Lima cierra a la baja tras el anuncio de la FED sobre una nueva alza en las tasas de interés,14/12/2022 17H31,"La Bolsa de Valores de Lima (BVL) cerró la sesión del miércoles con pérdidas, tras el anuncio de la Reserva Federal (FED) sobre la subida de 50 puntos básicos en las tasas de interés, séptima alza del año.","La Bolsa de Valores de Lima (BVL) cerró la sesión del miércoles con pérdidas, tras el anuncio de la Reserva Federal (FED) sobre la subida de 50 puntos básicos en las tasas de interés, séptima alza del año."
